station_m	X_ref_m	Y_ref_m	psi_ref_rad	curvature_1pm	local_speed_limit_mps	vx_ref_mps	yaw_rate_ref_radps
0	0	0	0	0	13.4	0	0
0.25	0.25	0	0	0	13.4	0.545058283473107	0
0.5	0.5	0	0	0	13.4	0.668574114014567	0
0.75	0.75	0	0	0	13.4	0.772572606278746	0
1	1	0	0	0	13.4	0.864132142447451	0
1.25	1.25	0	0	0	13.4	0.946868251196914	0
1.5	1.5	0	0	0	13.4	1.02292416732757	0
1.75	1.75	0	0	0	13.4	1.09369441320536	0
2	2	0	0	0	13.4	1.16014668951879	0
2.25	2.25	0	0	0	13.4	1.22298506547391	0
2.5	2.5	0	0	0	13.4	1.28274076099287	0
2.75	2.75	0	0	0	13.4	1.33982629945359	0
3	3	0	0	0	13.4	1.39456962236826	0
3.25	3.25	0	0	0	13.4	1.4472365458209	0
3.5	3.5	0	0	0	13.4	1.49804608719515	0
3.75	3.75	0	0	0	13.4	1.54718124791712	0
4	4	0	0	0	13.4	1.59479679773538	0
4.25	4.25	0	0	0	13.4	1.64102502074542	0
4.5	4.5	0	0	0	13.4	1.68598003983214	0
4.75	4.75	0	0	0	13.4	1.72976112713164	0
5	5	0	0	0	13.4	1.77245527679861	0
5.25	5.25	0	0	0	13.4	1.81413923157163	0
5.5	5.5	0	0	0	13.4	1.85488109851596	0
5.75	5.75	0	0	0	13.4	1.89474165136891	0
6	6	0	0	0	13.4	1.93377539073069	0
6.25	6.25	0	0	0	13.4	1.97203141495994	0
6.5	6.5	0	0	0	13.4	2.00955414151456	0
6.75	6.75	0	0	0	13.4	2.04638390897939	0
7	7	0	0	0	13.4	2.0825574830503	0
7.25	7.25	0	0	0	13.4	2.11810848456366	0
7.5	7.5	0	0	0	13.4	2.15306775376666	0
7.75	7.75	0	0	0	13.4	2.18746366206638	0
8	8	0	0	0	13.4	2.22132238022707	0
8.25	8.25	0	0	0	13.4	2.25466811022904	0
8.5	8.5	0	0	0	13.4	2.28752328663172	0
8.75	8.75	0	0	0	13.4	2.31990875220475	0
9	9	0	0	0	13.4	2.35184391173556	0
9.25	9.25	0	0	0	13.4	2.38334686723913	0
9.5	9.5	0	0	0	13.4	2.4144345372469	0
9.75	9.75	0	0	0	13.4	2.44512276240785	0
10	10	0	0	0	13.4	2.47542639927396	0
10.25	10.25	0	0	0	13.4	2.50535940384675	0
10.5	10.5	0	0	0	13.4	2.53493490621903	0
10.75	10.75	0	0	0	13.4	2.56416527744508	0
11	11	0	0	0	13.4	2.59306218960606	0
11.25	11.25	0	0	0	13.4	2.62163666989824	0
11.5	11.5	0	0	0	13.4	2.64989914945553	0
11.75	11.75	0	0	0	13.4	2.67785950751949	0
12	12	0	0	0	13.4	2.7055271114877	0
12.25	12.25	0	0	0	13.4	2.73291085330086	0
12.5	12.5	0	0	0	13.4	2.76001918256981	0
12.75	12.75	0	0	0	13.4	2.78686013679239	0
13	13	0	0	0	13.4	2.81344136896669	0
13.25	13.25	0	0	0	13.4	2.8397701728698	0
13.5	13.5	0	0	0	13.4	2.86585350623879	0
13.75	13.75	0	0	0	13.4	2.8916980120629	0
14	14	0	0	0	13.4	2.91731003817173	0
14.25	14.25	0	0	0	13.4	2.94269565528314	0
14.5	14.5	0	0	0	13.4	2.96786067365642	0
14.75	14.75	0	0	0	13.4	2.99281065848026	0
15	15	0	0	0	13.4	3.017550944111	0
15.25	15.25	0	0	0	13.4	3.04208664726455	0
15.5	15.5	0	0	0	13.4	3.06642267925433	0
15.75	15.75	0	0	0	13.4	3.09056375735837	0
16	16	0	0	0	13.4	3.11451441538996	0
16.25	16.25	0	0	0	13.4	3.13827901353918	0
16.5	16.5	0	0	0	13.4	3.1618617475458	0
16.75	16.75	0	0	0	13.4	3.1852666572582	0
17	17	0	0	0	13.4	3.20849763462783	0
17.25	17.25	0	0	0	13.4	3.23155843118415	0
17.5	17.5	0	0	0	13.4	3.2544526650306	0
17.75	17.75	0	0	0	13.4	3.27718382739862	0
18	18	0	0	0	13.4	3.29975528879345	0
18.25	18.25	0	0	0	13.4	3.3221703047623	0
18.5	18.5	0	0	0	13.4	3.34443202131282	0
18.75	18.75	0	0	0	13.4	3.36654348000761	0
19	19	0	0	0	13.4	3.38850762275791	0
19.25	19.25	0	0	0	13.4	3.41032729633814	0
19.5	19.5	0	0	0	13.4	3.43200525664063	0
19.75	19.75	0	0	0	13.4	3.45354417268895	0
20	20	0	0	0	13.4	3.47494663042592	0
20.25	20.25	0	0	0	13.4	3.49621513629203	0
20.5	20.5	0	0	0	13.4	3.51735212060794	0
20.75	20.75	0	0	0	13.4	3.53835994077414	0
21	21	0	0	0	13.4	3.55924088429976	0
21.25	21.25	0	0	0	13.4	3.57999717167144	0
21.5	21.5	0	0	0	13.4	3.60063095907252	0
21.75	21.75	0	0	0	13.4	3.62114434096199	0
22	22	0	0	0	13.4	3.64153935252195	0
22.25	22.25	0	0	0	13.4	3.66181797198165	0
22.5	22.5	0	0	0	13.4	3.68198212282562	0
22.75	22.75	0	0	0	13.4	3.70203367589298	0
23	23	0	0	0	13.4	3.72197445137425	0
23.25	23.25	0	0	0	13.4	3.7418062207119	0
23.5	23.5	0	0	0	13.4	3.76153070841006	0
23.75	23.75	0	0	0	13.4	3.78114959375885	0
24	24	0	0	0	13.4	3.80066451247796	0
24.25	24.25	0	0	0	13.4	3.8200770582843	0
24.5	24.5	0	0	0	13.4	3.83938878438779	0
24.75	24.75	0	0	0	13.4	3.85860120491934	0
25	25	0	0	0	13.4	3.87771579629474	0
25.25	25.25	0	0	0	13.4	3.89673399851796	0
25.5	25.5	0	0	0	13.4	3.91565721642708	0
25.75	25.75	0	0	0	13.4	3.93448682088587	0
26	26	0	0	0	13.4	3.95322414992407	0
26.25	26.25	0	0	0	13.4	3.97187050982875	0
26.5	26.5	0	0	0	13.4	3.99042717618963	0
26.75	26.75	0	0	0	13.4	4.00889539490037	0
27	27	0	0	0	13.4	4.02727638311841	0
27.25	27.25	0	0	0	13.4	4.04557133018515	0
27.5	27.5	0	0	0	13.4	4.06378139850864	0
27.75	27.75	0	0	0	13.4	4.08190772441053	0
28	28	0	0	0	13.4	4.09995141893913	0
28.25	28.25	0	0	0	13.4	4.11791356865013	0
28.5	28.5	0	0	0	13.4	4.13579523635654	0
28.75	28.75	0	0	0	13.4	4.15359746184943	0
29	29	0	0	0	13.4	4.17132126259072	0
29.25	29.25	0	0	0	13.4	4.18896763437939	0
29.5	29.5	0	0	0	13.4	4.20653755199237	0
29.75	29.75	0	0	0	13.4	4.22403196980122	0
30	30	0	0	0	13.4	4.24145182236576	0
30.25	30.25	0	0	0	13.4	4.25879802500562	0
30.5	30.5	0	0	0	13.4	4.27607147435088	0
30.75	30.75	0	0	0	13.4	4.29327304887244	0
31	31	0	0	0	13.4	4.3104036093933	0
31.25	31.25	0	0	0	13.4	4.32746399958147	0
31.5	31.5	0	0	0	13.4	4.34445504642528	0
31.75	31.75	0	0	0	13.4	4.36137756069185	0
32	32	0	0	0	13.4	4.3782323373696	0
32.25	32.25	0	0	0	13.4	4.3950201560952	0
32.5	32.5	0	0	0	13.4	4.41174178156593	0
32.75	32.75	0	0	0	13.4	4.42839796393776	0
33	33	0	0	0	13.4	4.44498943920998	0
33.25	33.25	0	0	0	13.4	4.46151692959685	0
33.5	33.5	0	0	0	13.4	4.4779811438867	0
33.75	33.75	0	0	0	13.4	4.49438277778923	0
34	34	0	0	0	13.4	4.51072251427119	0
34.25	34.25	0	0	0	13.4	4.52700102388117	0
34.5	34.5	0	0	0	13.4	4.54321896506377	0
34.75	34.75	0	0	0	13.4	4.55937698446362	0
35	35	0	0	0	13.4	4.5754757172197	0
35.25	35.25	0	0	0	13.4	4.59151578725018	0
35.5	35.5	0	0	0	13.4	4.6074978075284	0
35.75	35.75	0	0	0	13.4	4.62342238035	0
36	36	0	0	0	13.4	4.6392900975919	0
36.25	36.25	0	0	0	13.4	4.65510154096317	0
36.5	36.5	0	0	0	13.4	4.67085728224813	0
36.75	36.75	0	0	0	13.4	4.68655788354217	0
37	37	0	0	0	13.4	4.70220389748025	0
37.25	37.25	0	0	0	13.4	4.71779586745865	0
37.5	37.5	0	0	0	13.4	4.73333432785	0
37.75	37.75	0	0	0	13.4	4.74881980421193	0
38	38	0	0	0	13.4	4.76425281348958	0
38.25	38.25	0	0	0	13.4	4.77963386421212	0
38.5	38.5	0	0	0	13.4	4.79496345668361	0
38.75	38.75	0	0	0	13.4	4.81024208316824	0
39	39	0	0	0	13.4	4.82547022807032	0
39.25	39.25	0	0	0	13.4	4.84064836810905	0
39.5	39.5	0	0	0	13.4	4.8557769724884	0
39.75	39.75	0	0	0	13.4	4.8708565030621	0
40	40	0	0	0	13.4	4.88588741449407	0
40.25	40.25	0	0	0	13.4	4.90087015441439	0
40.5	40.5	0	0	0	13.4	4.91580516357081	0
40.75	40.75	0	0	0	13.4	4.93069287597628	0
41	41	0	0	0	13.4	4.9455337190523	0
41.25	41.25	0	0	0	13.4	4.9603281137684	0
41.5	41.5	0	0	0	13.4	4.97507647477787	0
41.75	41.75	0	0	0	13.4	4.98977921054982	0
42	42	0	0	0	13.4	5.00443672349774	0
42.25	42.25	0	0	0	13.4	5.01904941010457	0
42.5	42.5	0	0	0	13.4	5.03361766104455	0
42.75	42.75	0	0	0	13.4	5.04814186130183	0
43	43	0	0	0	13.4	5.06262239028597	0
43.25	43.25	0	0	0	13.4	5.07705962194448	0
43.5	43.5	0	0	0	13.4	5.09145392487241	0
43.75	43.75	0	0	0	13.4	5.10580566241915	0
44	44	0	0	0	13.4	5.12011519279252	0
44.25	44.25	0	0	0	13.4	5.1343828691602	0
44.5	44.5	0	0	0	13.4	5.14860903974859	0
44.75	44.75	0	0	0	13.4	5.1627940479392	0
45	45	0	0	0	13.4	5.17693823236266	0
45.25	45.25	0	0	0	13.4	5.19104192699036	0
45.5	45.5	0	0	0	13.4	5.20510546122383	0
45.75	45.75	0	0	0	13.4	5.21912915998195	0
46	46	0	0	0	13.4	5.23311334378603	0
46.25	46.25	0	0	0	13.4	5.24705832884279	0
46.5	46.5	0	0	0	13.4	5.26096442712539	0
46.75	46.75	0	0	0	13.4	5.27483194645245	0
47	47	0	0	0	13.4	5.28866119056524	0
47.25	47.25	0	0	0	13.4	5.30245245920299	0
47.5	47.5	0	0	0	13.4	5.31620604817646	0
47.75	47.75	0	0	0	13.4	5.32992224943976	0
48	48	0	0	0	13.4	5.34360135116048	0
